file,best_clusters,scores,all_clusters,max_score
1,[2 2 0 3 4 0 4 2 0 0 0 4 3 1 1],"[0.19387564291583545, 0.2974190119730896, 0.3839581509902873, 0.5052882802149237, 0.47033013352846714, 0.18660752343000678, 0.17800803087494152, 0.0848243151578621, 0.018351870605626555, 0.002409932515869865, -0.014942129701615547, -0.05884353149825798, -0.016719533846495358]","[array([0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0], dtype=int32), array([2, 2, 0, 1, 1, 0, 2, 2, 0, 0, 0, 1, 1, 1, 1], dtype=int32), array([2, 2, 1, 3, 0, 1, 2, 2, 1, 1, 1, 0, 3, 0, 0], dtype=int32), array([2, 2, 0, 3, 4, 0, 4, 2, 0, 0, 0, 4, 3, 1, 1], dtype=int32), array([4, 4, 1, 0, 3, 1, 5, 4, 5, 1, 1, 3, 0, 2, 2], dtype=int32), array([1, 1, 0, 3, 2, 0, 6, 1, 4, 4, 0, 2, 3, 5, 5], dtype=int32), array([1, 1, 0, 3, 4, 0, 7, 1, 7, 6, 0, 5, 3, 2, 2], dtype=int32), array([2, 2, 1, 3, 4, 1, 5, 2, 7, 8, 1, 6, 3, 0, 0], dtype=int32), array([8, 8, 1, 0, 5, 1, 2, 4, 6, 7, 1, 9, 0, 3, 3], dtype=int32), array([ 5,  5,  1,  3,  8, 10,  9,  2,  4,  6, 10,  7,  3,  0,  0],
      dtype=int32), array([ 1,  1,  0, 10,  6,  8, 11,  9,  5,  7,  8,  4,  3,  2,  2],
      dtype=int32), array([ 0,  0,  2, 10,  8,  6, 11,  9,  4,  7,  6,  5,  1, 12,  3],
      dtype=int32), array([13,  1,  0,  2,  6,  7, 10,  8,  9,  4,  7,  5, 12,  3, 11],
      dtype=int32)]",0.5052882802149237
2,[3 3 1 0 2 1 0 3 1 1 0 0 2 2],"[0.33575173128403135, 0.3669271996259714, 0.4362129861841145, 0.3176283808333514, 0.2903819458305891, 0.17288209820907383, -0.1361475320192807, -0.09781829054534208, -0.12240925452386557, -0.02915788447541126, -0.04471940206034423, -0.026572570637751893]","[array([1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0], dtype=int32), array([1, 1, 2, 0, 1, 2, 0, 1, 2, 2, 0, 0, 2, 2], dtype=int32), array([3, 3, 1, 0, 2, 1, 0, 3, 1, 1, 0, 0, 2, 2], dtype=int32), array([1, 1, 2, 3, 4, 0, 3, 1, 0, 0, 3, 3, 2, 2], dtype=int32), array([2, 2, 0, 3, 5, 1, 4, 2, 1, 1, 3, 3, 0, 0], dtype=int32), array([1, 1, 2, 0, 6, 5, 4, 1, 2, 5, 0, 0, 3, 3], dtype=int32), array([3, 3, 4, 1, 7, 5, 2, 6, 0, 5, 1, 1, 4, 4], dtype=int32), array([2, 2, 6, 1, 3, 0, 5, 7, 8, 0, 1, 1, 4, 4], dtype=int32), array([2, 2, 1, 3, 6, 4, 0, 7, 8, 4, 3, 9, 5, 5], dtype=int32), array([ 2,  2,  9,  3,  5,  1,  4,  6,  8,  1,  3,  7,  0, 10],
      dtype=int32), array([ 1,  1,  8, 11,  4,  0,  5,  7,  9,  0,  2,  6,  3, 10],
      dtype=int32), array([ 0,  0,  9,  4,  5,  1,  8,  3,  7, 11, 12,  6,  2, 10],
      dtype=int32)]",0.4362129861841145
3,[1 1 5 2 0 3 4 1 4 3 3 2 2 5 5],"[0.22781465893931005, 0.2755998986796894, 0.28616660845233555, 0.2714937731958516, 0.346022263242118, 0.24335158642815355, 0.3234901126434498, 0.22850218376059525, 0.1767620800010163, 0.12867613206194597, 0.05041675199576967, 0.03297599401770291, -0.0069341837973472785]","[array([1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0], dtype=int32), array([1, 1, 0, 1, 0, 2, 2, 1, 2, 0, 0, 1, 1, 0, 0], dtype=int32), array([1, 1, 0, 2, 1, 3, 3, 2, 3, 0, 0, 2, 2, 0, 0], dtype=int32), array([3, 3, 0, 2, 3, 1, 1, 2, 1, 4, 4, 2, 2, 0, 0], dtype=int32), array([1, 1, 5, 2, 0, 3, 4, 1, 4, 3, 3, 2, 2, 5, 5], dtype=int32), array([2, 4, 6, 1, 2, 0, 5, 1, 5, 0, 0, 3, 1, 6, 6], dtype=int32), array([4, 1, 2, 5, 6, 3, 0, 1, 0, 3, 3, 5, 5, 7, 2], dtype=int32), array([6, 0, 4, 8, 7, 2, 2, 0, 2, 1, 1, 5, 8, 3, 4], dtype=int32), array([6, 4, 1, 0, 7, 8, 3, 0, 3, 2, 2, 5, 0, 9, 1], dtype=int32), array([ 3,  7,  2,  1,  5,  0,  4,  1,  4,  6,  6,  9,  1, 10,  8],
      dtype=int32), array([ 7,  3,  9,  1,  4,  8,  2, 11,  2,  5,  5, 10,  1,  6,  0],
      dtype=int32), array([ 7,  4,  8,  1,  5, 11,  3, 12,  3, 10,  2,  9,  1,  0,  6],
      dtype=int32), array([ 4, 11,  3,  7,  5,  8, 13,  1,  2, 12,  0,  6,  7,  9, 10],
      dtype=int32)]",0.346022263242118
4,[0 2 2 1 1 0 1 1 2 1 1 1 0 1 1 1],"[0.29166384387680233, 0.35032450347340693, 0.2978715421711338, 0.20638585894061134, 0.20782824881035278, 0.01703248519104268, 0.034107542498189786, 0.07373502678468916, 0.034719457257537695, 0.05881006830937131, 0.030569409477830434, 0.027207188481634892, 0.044102561115032315, 0.043103034153013545]","[array([0, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1], dtype=int32), array([0, 2, 2, 1, 1, 0, 1, 1, 2, 1, 1, 1, 0, 1, 1, 1], dtype=int32), array([2, 3, 2, 0, 0, 1, 0, 0, 3, 2, 0, 0, 1, 0, 2, 0], dtype=int32), array([4, 3, 0, 2, 2, 1, 2, 2, 3, 0, 2, 2, 1, 2, 0, 2], dtype=int32), array([4, 3, 0, 2, 2, 1, 5, 5, 3, 4, 5, 5, 1, 5, 0, 2], dtype=int32), array([3, 0, 5, 1, 2, 6, 1, 1, 0, 5, 1, 1, 6, 4, 1, 2], dtype=int32), array([4, 2, 3, 5, 6, 0, 1, 1, 2, 5, 1, 1, 0, 7, 3, 6], dtype=int32), array([5, 2, 6, 1, 1, 3, 7, 7, 2, 1, 7, 1, 4, 0, 8, 1], dtype=int32), array([8, 2, 9, 5, 7, 4, 1, 1, 2, 3, 1, 1, 6, 0, 5, 7], dtype=int32), array([ 7,  0,  5, 10,  6,  2,  1,  1,  0,  3,  1,  1,  4,  9,  8,  6],
      dtype=int32), array([ 9,  5,  7, 11,  0,  1,  3,  3,  5,  2,  3,  3,  4,  6,  8, 10],
      dtype=int32), array([ 9,  2,  1,  8, 11,  4,  3,  3, 12,  5,  3,  3,  6,  7, 10,  0],
      dtype=int32), array([ 8, 13, 10, 11,  0,  4,  3, 12,  1,  2,  3,  3,  5,  7,  6,  9],
      dtype=int32), array([ 4,  2,  6,  8,  7,  0, 12, 14, 13, 10, 12,  1,  5,  3,  9, 11],
      dtype=int32)]",0.35032450347340693
5,[2 0 3 1 1 4 3 4 4 0 1 2 2 2 3 0],"[0.3086457469753182, 0.3870443708755874, 0.47828065303883527, 0.5231021139154972, 0.49784811632719905, 0.38359752100222777, 0.2519090158435932, 0.1359907755177619, 0.11266095519998168, 0.17173732321658286, 0.1542784190273183, 0.13005067922449154, 0.13308441662544818, 0.07134700981770813]","[array([0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1], dtype=int32), array([1, 2, 2, 0, 2, 0, 2, 0, 0, 2, 0, 1, 1, 1, 1, 2], dtype=int32), array([1, 2, 2, 3, 3, 0, 3, 0, 0, 2, 3, 1, 1, 1, 1, 2], dtype=int32), array([2, 0, 3, 1, 1, 4, 3, 4, 4, 0, 1, 2, 2, 2, 3, 0], dtype=int32), array([0, 3, 4, 5, 1, 2, 4, 2, 2, 1, 5, 0, 0, 0, 4, 3], dtype=int32), array([6, 0, 5, 1, 4, 3, 4, 3, 3, 4, 1, 2, 6, 2, 5, 0], dtype=int32), array([1, 3, 5, 0, 2, 4, 2, 4, 4, 6, 0, 7, 1, 7, 5, 3], dtype=int32), array([1, 3, 7, 4, 6, 2, 6, 2, 2, 0, 4, 8, 1, 8, 5, 3], dtype=int32), array([1, 0, 4, 2, 7, 5, 7, 5, 3, 6, 2, 8, 1, 8, 9, 0], dtype=int32), array([ 7,  4,  3,  5,  6,  2,  1,  2,  8, 10,  5,  0,  7,  0,  9,  4],
      dtype=int32), array([ 1,  5,  4,  6,  9,  2,  0,  2,  7,  3, 10, 11,  1, 11,  8,  5],
      dtype=int32), array([12,  0,  4, 10,  6,  3,  5,  3,  9,  7,  1, 11,  2, 11,  8,  0],
      dtype=int32), array([ 7,  2,  9,  0, 10,  5,  4,  5,  3,  6, 11, 13, 12,  1,  8,  2],
      dtype=int32), array([13, 14,  6,  5,  1,  2,  7,  2,  8,  9, 11, 12,  4,  0, 10,  3],
      dtype=int32)]",0.5231021139154972
6,[1 0 0 1 3 2 3 2 2 3 2 1 1 1 1 0],"[0.32376588708796905, 0.4709305167137779, 0.5848817873715301, 0.4986733717309201, 0.21587552806883054, 0.23443374567892103, 0.14543949124716282, 0.037847327102545195, -0.07338459666434481, 0.035315945949314156, 0.029892765760219694, -0.06412764336142399, -0.0747202645769978, -0.060150728297782785]","[array([1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0], dtype=int32), array([2, 0, 0, 2, 1, 0, 1, 0, 0, 1, 0, 2, 2, 2, 2, 0], dtype=int32), array([1, 0, 0, 1, 3, 2, 3, 2, 2, 3, 2, 1, 1, 1, 1, 0], dtype=int32), array([0, 1, 1, 0, 2, 4, 2, 4, 4, 2, 4, 3, 3, 3, 3, 1], dtype=int32), array([5, 4, 4, 5, 0, 2, 0, 2, 3, 0, 3, 1, 1, 1, 1, 4], dtype=int32), array([1, 2, 2, 1, 0, 5, 0, 5, 4, 0, 4, 3, 3, 6, 3, 2], dtype=int32), array([7, 2, 2, 1, 3, 4, 3, 4, 5, 3, 5, 6, 6, 0, 6, 2], dtype=int32), array([4, 0, 0, 8, 2, 5, 6, 5, 3, 2, 3, 1, 1, 7, 1, 0], dtype=int32), array([9, 0, 0, 6, 3, 7, 8, 4, 2, 3, 2, 1, 1, 5, 1, 0], dtype=int32), array([ 6,  1,  1,  0,  2,  9,  7,  4, 10,  2,  5,  3,  3,  8,  3,  1],
      dtype=int32), array([ 6, 11,  0,  8,  3,  5,  7, 10,  9,  3,  4,  2,  2,  1,  2, 11],
      dtype=int32), array([ 6,  1, 12,  4,  0,  3, 10,  8, 11,  0,  5,  7,  7,  9,  2,  1],
      dtype=int32), array([ 4, 13, 12,  6,  2,  5,  8,  7,  0,  2, 10,  9,  9, 11,  1,  3],
      dtype=int32), array([ 7, 13, 11,  8,  0,  4,  6, 10,  9, 14,  2,  1,  1,  5, 12,  3],
      dtype=int32)]",0.5848817873715301
7,[2 0 0 2 2 2 2 2 2 0 0 1 1 1 1 0],"[0.24587474882422927, 0.3413643941210971, 0.22227777511986258, -0.06590990198233845, -0.21122844964611326, -0.08790574866982351, -0.2821935515892321, -0.005758018206651281, -0.12288507415134511, -0.08012078422103272, -0.07619505409181432, -0.09496576063123832, -0.08653229440883976, -0.051629134807169574]","[array([0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1], dtype=int32), array([2, 0, 0, 2, 2, 2, 2, 2, 2, 0, 0, 1, 1, 1, 1, 0], dtype=int32), array([3, 0, 0, 3, 0, 3, 3, 3, 3, 0, 0, 1, 1, 2, 1, 2], dtype=int32), array([3, 2, 2, 0, 0, 3, 0, 0, 0, 2, 2, 4, 4, 1, 4, 1], dtype=int32), array([0, 1, 1, 4, 3, 0, 3, 3, 3, 1, 1, 2, 2, 5, 2, 5], dtype=int32), array([4, 1, 3, 0, 5, 4, 5, 4, 5, 1, 1, 6, 2, 6, 2, 3], dtype=int32), array([6, 5, 0, 4, 3, 6, 3, 7, 3, 0, 5, 2, 1, 2, 1, 0], dtype=int32), array([4, 0, 3, 8, 5, 4, 5, 2, 2, 0, 0, 1, 1, 7, 1, 6], dtype=int32), array([3, 6, 1, 0, 7, 3, 7, 2, 9, 6, 6, 4, 5, 4, 5, 8], dtype=int32), array([ 5,  3,  7,  6,  1,  5,  1,  9,  0,  4,  3,  2, 10,  2, 10,  8],
      dtype=int32), array([ 6,  8, 11,  5,  9,  6,  7,  2, 10,  0,  8,  4,  1,  4,  1,  3],
      dtype=int32), array([ 1,  0, 12,  5, 11,  1,  4,  6,  8,  3,  0,  2,  7, 10,  7,  9],
      dtype=int32), array([12,  4,  7,  3,  8,  5, 11, 10,  1,  0,  4,  2,  9, 13,  9,  6],
      dtype=int32), array([14,  8, 11,  7, 13,  5,  4,  3, 10,  9,  1, 12,  0,  6,  0,  2],
      dtype=int32)]",0.3413643941210971
8,[1 3 3 1 2 1 2 1 1 2 2 0 1 0 0 3],"[0.29586521714015424, 0.45968841656903575, 0.6346918088205018, 0.6047419943890142, 0.2093083938403104, 0.2532998319658033, 0.25104534810160384, 0.2827630880958335, 0.16715204803784134, 0.03392490796812503, 0.07182756291114985, -0.09270742975993589, -0.06569081890502029, -0.03135253383415533]","[array([0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1], dtype=int32), array([1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 2, 1, 2, 2, 0], dtype=int32), array([1, 3, 3, 1, 2, 1, 2, 1, 1, 2, 2, 0, 1, 0, 0, 3], dtype=int32), array([0, 2, 2, 1, 4, 0, 4, 0, 0, 4, 1, 3, 0, 3, 3, 2], dtype=int32), array([2, 3, 3, 5, 1, 4, 1, 4, 4, 1, 1, 0, 4, 0, 0, 3], dtype=int32), array([5, 3, 3, 6, 2, 1, 2, 1, 1, 2, 4, 0, 1, 0, 0, 3], dtype=int32), array([5, 3, 3, 0, 6, 7, 2, 4, 4, 6, 2, 1, 4, 1, 1, 3], dtype=int32), array([0, 1, 1, 5, 7, 6, 2, 4, 8, 7, 2, 3, 4, 3, 3, 1], dtype=int32), array([4, 3, 3, 5, 6, 7, 0, 2, 9, 6, 8, 1, 2, 1, 1, 3], dtype=int32), array([ 4,  2, 10,  6,  7,  5,  0,  8,  1,  7,  9,  3,  8,  3,  3, 10],
      dtype=int32), array([ 4,  0,  9,  6,  8,  7,  3, 11,  1,  8, 10,  2,  5,  2,  2,  9],
      dtype=int32), array([ 6, 12,  3,  4,  0,  7,  9,  1,  8,  0,  5, 11, 10,  2,  2,  3],
      dtype=int32), array([ 0,  6, 13,  5,  1,  9, 10, 11,  4,  1,  7, 12,  8,  3,  3,  2],
      dtype=int32), array([ 1, 11,  3,  8, 14,  9, 12, 10,  6,  0,  5,  2,  4,  7,  7, 13],
      dtype=int32)]",0.6346918088205018
9,[1 0 1 1 2 1 2 1 1 2 3 0 3 3 0],"[0.22884765664685752, 0.43263381035623044, 0.5670329451455715, 0.11906820382337065, 0.0732442834387372, 0.12782233521781058, 0.12903563151891664, 0.021019898627797285, -0.03165126428092714, -0.09940991043632712, 0.020571796961744097, -0.06699601090642582, -0.0669782551296226]","[array([1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0], dtype=int32), array([0, 2, 0, 0, 1, 0, 1, 0, 0, 1, 2, 2, 2, 0, 2], dtype=int32), array([1, 0, 1, 1, 2, 1, 2, 1, 1, 2, 3, 0, 3, 3, 0], dtype=int32), array([2, 4, 1, 2, 3, 2, 3, 1, 2, 3, 0, 4, 0, 0, 4], dtype=int32), array([1, 2, 4, 1, 0, 1, 0, 3, 1, 0, 5, 2, 5, 5, 2], dtype=int32), array([5, 4, 6, 5, 3, 5, 3, 0, 1, 3, 2, 4, 2, 2, 4], dtype=int32), array([0, 7, 2, 0, 1, 0, 1, 6, 5, 1, 4, 3, 4, 4, 7], dtype=int32), array([2, 3, 4, 2, 1, 2, 1, 6, 5, 1, 0, 8, 0, 7, 3], dtype=int32), array([7, 8, 5, 2, 3, 2, 3, 6, 9, 3, 4, 1, 4, 0, 8], dtype=int32), array([ 7, 10,  6,  1,  3,  1,  3,  5,  8,  3,  2,  4,  2,  9,  0],
      dtype=int32), array([ 0,  5,  6,  7,  2,  3,  2,  9,  8,  2,  4,  1,  4, 11, 10],
      dtype=int32), array([ 7, 11,  0, 12,  6,  4,  2,  9,  5,  6,  1,  8,  1, 10,  3],
      dtype=int32), array([ 6, 10,  7, 11,  2,  4, 12,  0,  5,  2, 13,  8,  1,  9,  3],
      dtype=int32)]",0.5670329451455715
10,[1 0 2 1 0 1 0 1 1 0 0 1 2 1 2 2],"[0.2983907411035536, 0.35980419426395704, 0.34496450862046296, 0.24415120076002203, 0.30031719474930063, 0.3065504094809315, 0.09510879521856677, 0.0035556166080109863, -0.04490014018602509, -0.039916682400559816, 0.03527199470238987, 0.053523455142728986, 0.01077884617578838, 0.04232052806245622]","[array([1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0], dtype=int32), array([1, 0, 2, 1, 0, 1, 0, 1, 1, 0, 0, 1, 2, 1, 2, 2], dtype=int32), array([2, 0, 1, 2, 3, 2, 3, 0, 2, 3, 3, 2, 1, 2, 1, 1], dtype=int32), array([0, 1, 3, 2, 4, 2, 4, 2, 0, 4, 1, 2, 3, 2, 3, 3], dtype=int32), array([0, 2, 2, 3, 1, 4, 1, 4, 0, 1, 1, 4, 5, 4, 5, 5], dtype=int32), array([3, 2, 5, 6, 4, 1, 4, 1, 3, 4, 2, 1, 0, 1, 0, 0], dtype=int32), array([1, 3, 6, 5, 0, 2, 0, 7, 1, 0, 3, 2, 1, 2, 4, 4], dtype=int32), array([5, 4, 8, 6, 2, 1, 2, 3, 5, 2, 4, 1, 0, 1, 7, 7], dtype=int32), array([6, 3, 8, 5, 1, 2, 1, 7, 6, 1, 3, 2, 0, 2, 4, 9], dtype=int32), array([ 0,  1, 10,  7,  2,  4,  2,  8,  9,  2,  1,  4,  6,  4,  5,  3],
      dtype=int32), array([ 6,  2,  5,  4,  1, 11,  1,  9, 10,  1,  2,  0,  8,  0,  7,  3],
      dtype=int32), array([11,  4,  2,  5,  1,  0,  1,  7,  6,  1, 12, 10,  8, 10,  9,  3],
      dtype=int32), array([ 5,  3,  8,  9, 13, 12,  0,  4, 10,  0, 11,  1,  7,  1,  6,  2],
      dtype=int32), array([11,  3,  5, 12,  1,  2, 14,  7,  0, 10, 13,  6,  9,  6,  4,  8],
      dtype=int32)]",0.35980419426395704
